comment,video_title,video_url,is_short
Coming from apple vision to this shows how ahead of time google glass was back then.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
If it tells me someone's power level I will buy it.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Love how all comments from three years ago were fraking out about this and now no one cares,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
I remember 9y/o me watching this thinking that it was gonna change the world,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Google need to understand that not everyone uses google+,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
iPhone should make a similar device called “eyePhone”,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
people are forgetting that this came out 10 years AGO! this was revolutionary tech back then,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Someone's going to accidentally fall into a hole while using google glass.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"After apple vision pro, this tech seems way ahead of its time . This requires a comeback",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Who's also here in 2020 for no reason,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"This product was probably 10-15 years ahead of its time. There just wasn't enough AR software at the time, or Lidar, to truly create a ""metaverse"" - a digital overlay on top of the real world.  That should change in the next few years.",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Ok glass, What does the scouter say about his power level?",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
i thought it was controlled with eyes,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
And now Apple released their own,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"This trailer looked so ahead of its time for 2013. It was such a neat idea, shame that it didn’t work out.",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Well this didn’t go anywhere 10yrs later and now apple is going to try,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"YES. They were indeed ahead of time. 

Apple Vision Pro, Meta Quest, Microsoft Mesh, Meta Ray-Ban smart glasses, Spectacles by Snap, PSVR .... is becoming a norm
Maybe it's time for google to give this project another go",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Wow remember when this was the THING?,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Shoutout to the people watching this video after apple launched their vision pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
This is an example of something being so ahead of its time it was a flop.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
It would be good to guide blind people if the maps talk . they could ask it to take them places and it guides them through . I like it,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
google glass walked so apple vision pro could run,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
This was so futuristic! Too bad it was discontinued.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Ur here cause of apple vision pro too,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Who is watching this when They came to know Apple has got this idea ??   10 long years to get a refined version of Google Glass,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"I think this will make a comeback in the future, like the original windows tablet in the early 2000’s/late 90’s it was just ahead of its time and looks weird. Better tech will come along and will fix problems. Such a cool product",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"“Tap the touchpad to wakeup glass.”
taps pad
Window: guten morgen friend",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
What does Apple have to do with Google Glass?,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
CAN I SEE THE POWER LEVEL OF MY ENEMIES?,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
bro has a whole scouter,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Just here after Vision Pro got announced by Apple yesterday. Time flies, man!",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Google should relaunch Google glass.
Back then, it was not the right time to launch it as it was ahead of its time.",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
looked better then the apple vision pro and more incognito,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Whos here after apples vision pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Whos here after the rayban glass? Google glass ahead of their time,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Freeing up both hands for when you want to capture every moment of the zombie apocalypse.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Who is watching this after the release of the apple vision pro ?,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
I can't believe this is 7 years ago.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Until 2020.. this glass still not released,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
comeback here after seeing apple launch the vision pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
This device was way ahead of its time,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"I feel like this Idea just was a bit ahead of the technology at the time. I recently translated some stuff with google lens on my smartphone, and I realised, that having this built into glasses would be insane for traveling.",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Oh my god, such an innovation. This is going to be huge!",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Honestly this deserves more recognition than vision pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
10 years later and we see a good yet overpriced version of this in the form of the Apple Vision Pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Who's also here in 2021 for no reason,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
This was way ahead of it's time and it's still is.,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Who’s here after apple’s vision pro announcement,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Better than helmet,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Can't believe 7 years ago...,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Google Vision Pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"""what does the scanner say about his power level?""",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
I still think that this idea is amazing and I'm just amazed by the vision now as I was back then,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
2024 and the Apple Pro Vision is actively being worn. Google was ahead of its time. I’m Turbo Timelines,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Watching this right after the release of Apple Vision Pro. Well, G-Glass were definitely ahead of its time.",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
I forgot this existed,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
came here after Vision Pro released,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
the nerve gear is what we need,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Google Glass... you came too early, your comeback shall be legendary if you ever do.",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
We are here after vision pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Too early for it's time,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
This was so ahead of ours time...,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Wow, this was a success!",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
I know exactly why y’all come here .,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Who’s here in 2021,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Who is here after Apple Vision Pro,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Its 2023 now i most definitely can see this work with the current technology we have now vs a decade ago,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
"Honestly, the only thing we want these to do is to scan the world around us. Street signs, people, etc. We want it full video game style, able to read everything and give us information on all of it.",Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
Wish the Apple Vision Pro was more like this tbh..,Google Glass How-to: Getting Started,https://www.youtube.com/watch?v=4EvNxWhskf8,False
